"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipStreamCreate,8,590700789,73837598,34.10851973045224
hipFree,52,355460054,6835770,20.525139784850733
hipStreamSynchronize,48,302100015,6293750,17.443999591809273
hipMemcpy,19,284457955,14971471,16.425303556859806
hipMemcpyToSymbol,8,140963056,17620382,8.139554350317354
hipLaunchKernel,48,20165922,420123,1.1644300485601025
hipStreamDestroy,8,15027227,1878403,0.8677091315405109
hipMalloc,52,13289174,255561,0.767349666736966
hipMemcpyPeerAsync,4,4698167,1174541,0.27128374432636754
hipMemcpyAsync,4,4650895,1162723,0.2685541425131932
__hipPushCallConfiguration,48,118118,2460,0.0068204245000958634
hipSetDevice,86,108059,1256,0.006239593043023578
__hipPopCallConfiguration,48,54464,1134,0.0031448856226250115
hipDeviceEnablePeerAccess,4,11567,2891,0.0006679070945377407
hipDeviceDisablePeerAccess,4,10040,2510,0.0005797343502341936
hipGetDeviceProperties,2,3368,1684,0.00019447662266820358
hipDeviceSynchronize,2,3305,1652,0.00019083884736294915
hipDeviceReset,4,2305,576,0.00013309638220018087
hipGetDeviceCount,1,1785,1785,0.00010307030031554138
hipDeviceCanAccessPeer,2,1424,712,8.222527039178204e-05
