"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hsa_queue_create,1,12974325,12974325,44.78275969760279
hsa_signal_wait_scacquire,14,9238675,659905,31.888623296337226
hsa_amd_memory_lock_to_pool,5,1937478,387495,6.687485606641737
hsa_amd_memory_pool_allocate,9,1443517,160390,4.982507755155239
hsa_executable_load_agent_code_object,2,763525,381762,2.63541699457291
hsa_amd_agents_allow_access,4,721183,180295,2.489267456071609
hsa_amd_memory_async_copy,4,411743,102935,1.4211905302333698
hsa_executable_freeze,2,387778,193889,1.3384718657823829
hsa_agent_get_info,48,285847,5955,0.9866422732034742
hsa_amd_memory_unlock,4,264884,66221,0.9142854460436144
hsa_amd_memory_pool_free,5,181042,36208,0.6248926538508481
hsa_code_object_reader_create_from_memory,2,127405,63702,0.43975678883279734
hsa_executable_destroy,1,53671,53671,0.1852532209367377
hsa_isa_get_info_alt,2,22756,11378,0.07854562604826448
hsa_signal_create,17,17439,1025,0.060193231352420655
hsa_executable_get_symbol_by_name,13,15755,1211,0.054380661732747713
hsa_executable_create_alt,2,15227,7613,0.05255819334843221
hsa_signal_silent_store_relaxed,10,14050,1405,0.04849560757506222
hsa_amd_profiling_get_async_copy_time,4,11947,2986,0.041236798839805584
hsa_amd_profiling_get_dispatch_time,7,10417,1488,0.03595578249889133
hsa_executable_symbol_get_info,13,10374,798,0.03580736177819897
hsa_signal_load_relaxed,7,8942,1277,0.030864606614676614
hsa_signal_store_screlease,6,8767,1461,0.030260568797905375
hsa_queue_add_write_index_screlease,6,8743,1457,0.030177729325891037
hsa_queue_load_read_index_scacquire,6,8099,1349,0.02795487016017288
hsa_amd_memory_pool_get_info,10,6545,654,0.02259101434724429
hsa_amd_agent_iterate_memory_pools,3,5217,1739,0.01800723022911741
hsa_queue_load_read_index_relaxed,3,4239,1413,0.01463152174453301
hsa_system_get_major_extension_table,1,3284,3284,0.011335201087295684
hsa_amd_agent_memory_pool_get_info,3,2375,791,0.008197656084752512
hsa_iterate_agents,1,2365,2365,0.00816313963807987
hsa_amd_profiling_async_copy_enable,1,1269,1269,0.004380137082758289
hsa_amd_profiling_set_profiler_enabled,1,1217,1217,0.00420065156006055
hsa_code_object_reader_destroy,1,965,965,0.003330837103909968
hsa_system_get_info,1,631,631,0.00217798778504372
